Sample	Celltype	Chromosome	Strand	Start	End	EF
FS185_nucl	CD4T	chr1	+	0	5000000	1.8538348114893082
FS185_nucl	CD4T	chr1	+	5000000	10000000	1.7480919214197788
FS185_nucl	CD4T	chr1	+	10000000	15000000	1.4422949150024773
FS185_nucl	CD4T	chr1	+	15000000	20000000	1.7871501060400583
FS185_nucl	CD4T	chr1	+	20000000	25000000	1.6633070816342979
FS185_nucl	CD4T	chr1	+	25000000	30000000	1.7890553833386076
FS185_nucl	CD4T	chr1	+	30000000	35000000	1.6680702748806735
FS185_nucl	CD4T	chr1	+	35000000	40000000	1.5813801577966407
FS185_nucl	CD4T	chr1	+	40000000	45000000	1.5842380737444661
FS185_nucl	CD4T	chr1	+	45000000	50000000	1.274630512730064
FS185_nucl	CD4T	chr1	+	50000000	55000000	1.4137157555242261
FS185_nucl	CD4T	chr1	+	110000000	115000000	1.2022299753851577
FS185_nucl	CD4T	chr1	+	150000000	155000000	1.5061217045039093
FS185_nucl	CD4T	chr1	+	155000000	160000000	1.4318158898604507
FS185_nucl	CD4T	chr1	+	200000000	205000000	1.5813801577966413
FS185_nucl	CD4T	chr1	+	205000000	210000000	1.2222353870199343
FS185_nucl	CD4T	chr1	+	225000000	230000000	1.4546792174430543
FS185_nucl	CD4T	chr1	+	230000000	235000000	1.2746305127300643
FS185_nucl	CD4T	chr1	-	0	5000000	1.8495649687623623
FS185_nucl	CD4T	chr1	-	5000000	10000000	1.7561814721427318
FS185_nucl	CD4T	chr1	-	10000000	15000000	1.4207631985701652
FS185_nucl	CD4T	chr1	-	15000000	20000000	1.7885798281128107
FS185_nucl	CD4T	chr1	-	20000000	25000000	1.7009136884290712
FS185_nucl	CD4T	chr1	-	25000000	30000000	1.7380765085123955
FS185_nucl	CD4T	chr1	-	30000000	35000000	1.571320264548762
FS185_nucl	CD4T	chr1	-	35000000	40000000	1.5837078712432036
FS185_nucl	CD4T	chr1	-	40000000	45000000	1.565602907612866
FS185_nucl	CD4T	chr1	-	45000000	50000000	1.2187499201685064
FS185_nucl	CD4T	chr1	-	50000000	55000000	1.4493499832496464
FS185_nucl	CD4T	chr1	-	110000000	115000000	1.2397135622667919
FS185_nucl	CD4T	chr1	-	150000000	155000000	1.478889660751776
FS185_nucl	CD4T	chr1	-	155000000	160000000	1.4274334483287092
FS185_nucl	CD4T	chr1	-	200000000	205000000	1.6037186205188394
FS185_nucl	CD4T	chr1	-	205000000	210000000	1.2073152062967143
FS185_nucl	CD4T	chr1	-	225000000	230000000	1.407422699053075
FS185_nucl	CD4T	chr1	-	230000000	235000000	1.2235143842817533
FS185_nucl	CD4T	chr10	+	10000000	15000000	1.2422407986547113
FS185_nucl	CD4T	chr10	+	70000000	75000000	1.4756372677271063
FS185_nucl	CD4T	chr10	+	75000000	80000000	1.3232150838430925
FS185_nucl	CD4T	chr10	+	95000000	100000000	1.2212827483706588
FS185_nucl	CD4T	chr10	+	100000000	105000000	1.5042164272053593
FS185_nucl	CD4T	chr10	+	120000000	125000000	1.2822516219242643
FS185_nucl	CD4T	chr10	+	125000000	130000000	1.2460513532518116
FS185_nucl	CD4T	chr10	+	130000000	133797422	1.5512451316135745
FS185_nucl	CD4T	chr10	-	70000000	75000000	1.4779367679291258
FS185_nucl	CD4T	chr10	-	75000000	80000000	1.2463838120253368
FS185_nucl	CD4T	chr10	-	95000000	100000000	1.2463838120253368
FS185_nucl	CD4T	chr10	-	100000000	105000000	1.5131938023671523
FS185_nucl	CD4T	chr10	-	120000000	125000000	1.301651595738999
FS185_nucl	CD4T	chr10	-	125000000	130000000	1.2416193479120907
FS185_nucl	CD4T	chr10	-	130000000	133797422	1.5675934588836211
FS185_nucl	CD4T	chr11	+	0	5000000	1.8128713495704805
FS185_nucl	CD4T	chr11	+	60000000	65000000	1.7290391484342753
FS185_nucl	CD4T	chr11	+	65000000	70000000	1.9148036850429169
FS185_nucl	CD4T	chr11	+	70000000	75000000	1.546132527773462
FS185_nucl	CD4T	chr11	+	75000000	80000000	1.4156210328227767
FS185_nucl	CD4T	chr11	+	115000000	120000000	1.639491115402419
FS185_nucl	CD4T	chr11	+	125000000	130000000	1.2441460759532614
FS185_nucl	CD4T	chr11	+	130000000	135000000	1.2479566305503618
FS185_nucl	CD4T	chr11	+	135000000	135086622	1.2097417679141464
FS185_nucl	CD4T	chr11	-	0	5000000	1.8305071123093763
FS185_nucl	CD4T	chr11	-	60000000	65000000	1.7666632931918727
FS185_nucl	CD4T	chr11	-	65000000	70000000	1.9353253228008058
FS185_nucl	CD4T	chr11	-	70000000	75000000	1.4817483392197242
FS185_nucl	CD4T	chr11	-	75000000	80000000	1.3235681306599338
FS185_nucl	CD4T	chr11	-	115000000	120000000	1.5570268722090215
FS185_nucl	CD4T	chr11	-	120000000	125000000	1.2311375268629479
FS185_nucl	CD4T	chr11	-	130000000	135000000	1.2806879536407136
FS185_nucl	CD4T	chr12	+	0	5000000	1.428957973912628
FS185_nucl	CD4T	chr12	+	5000000	10000000	1.3298835543880172
FS185_nucl	CD4T	chr12	+	45000000	50000000	1.2812989832749888
FS185_nucl	CD4T	chr12	+	50000000	55000000	1.5556589142662132
FS185_nucl	CD4T	chr12	+	55000000	60000000	1.221282748370658
FS185_nucl	CD4T	chr12	+	105000000	110000000	1.3737049322546728
FS185_nucl	CD4T	chr12	+	110000000	115000000	1.5185060069444851
FS185_nucl	CD4T	chr12	+	115000000	120000000	1.3022570335590413
FS185_nucl	CD4T	chr12	+	120000000	125000000	1.8176345428168603
FS185_nucl	CD4T	chr12	+	130000000	133275309	1.6749594334080953
FS185_nucl	CD4T	chr12	-	0	5000000	1.5379690157560348
FS185_nucl	CD4T	chr12	-	5000000	10000000	1.324521023482582
FS185_nucl	CD4T	chr12	-	45000000	50000000	1.2864053105766087
FS185_nucl	CD4T	chr12	-	50000000	55000000	1.6361169764889165
FS185_nucl	CD4T	chr12	-	55000000	60000000	1.2454309192026871
FS185_nucl	CD4T	chr12	-	105000000	110000000	1.3111805239654921
FS185_nucl	CD4T	chr12	-	110000000	115000000	1.5417805870466321
FS185_nucl	CD4T	chr12	-	115000000	120000000	1.3121334167881418
FS185_nucl	CD4T	chr12	-	120000000	125000000	1.778098007063668
FS185_nucl	CD4T	chr12	-	130000000	133275309	1.6598218712303066
FS185_nucl	CD4T	chr13	+	110000000	114364328	1.4597523310365945
FS185_nucl	CD4T	chr13	-	110000000	114364328	1.3683297658673965
FS185_nucl	CD4T	chr14	+	20000000	25000000	1.2679620421851379
FS185_nucl	CD4T	chr14	+	65000000	70000000	1.2574830170431124
FS185_nucl	CD4T	chr14	+	70000000	75000000	1.3308361930372943
FS185_nucl	CD4T	chr14	+	75000000	80000000	1.265104126237313
FS185_nucl	CD4T	chr14	+	90000000	95000000	1.4813530996227573
FS185_nucl	CD4T	chr14	+	95000000	100000000	1.3479836887242453
FS185_nucl	CD4T	chr14	+	100000000	105000000	1.8662191139298892
FS185_nucl	CD4T	chr14	-	20000000	25000000	1.2721119182368688
FS185_nucl	CD4T	chr14	-	65000000	70000000	1.2216085986364544
FS185_nucl	CD4T	chr14	-	70000000	75000000	1.2911697746898565
FS185_nucl	CD4T	chr14	-	75000000	80000000	1.2892639890445574
FS185_nucl	CD4T	chr14	-	90000000	95000000	1.455067340185543
FS185_nucl	CD4T	chr14	-	95000000	100000000	1.3712127717924005
FS185_nucl	CD4T	chr14	-	100000000	105000000	1.8381302548905751
FS185_nucl	CD4T	chr15	+	40000000	45000000	1.4070472849793008
FS185_nucl	CD4T	chr15	+	60000000	65000000	1.217472193773559
FS185_nucl	CD4T	chr15	+	65000000	70000000	1.45372657879378
FS185_nucl	CD4T	chr15	+	70000000	75000000	1.4356264444575522
FS185_nucl	CD4T	chr15	+	75000000	80000000	1.3908524279416241
FS185_nucl	CD4T	chr15	+	90000000	95000000	1.2250933029677593
FS185_nucl	CD4T	chr15	+	100000000	101991189	1.3855981745477228
FS185_nucl	CD4T	chr15	-	40000000	45000000	1.5322516588201371
FS185_nucl	CD4T	chr15	-	60000000	65000000	1.2444780263800386
FS185_nucl	CD4T	chr15	-	65000000	70000000	1.396940878003933
FS185_nucl	CD4T	chr15	-	70000000	75000000	1.4436326263137491
FS185_nucl	CD4T	chr15	-	75000000	80000000	1.6084830846320828
FS185_nucl	CD4T	chr15	-	90000000	95000000	1.2930755603351545
FS185_nucl	CD4T	chr15	-	100000000	101991189	1.2352889880078644
FS185_nucl	CD4T	chr16	+	0	5000000	2.263469430677593
FS185_nucl	CD4T	chr16	+	10000000	15000000	1.3508416046720706
FS185_nucl	CD4T	chr16	+	20000000	25000000	1.2565303783938375
FS185_nucl	CD4T	chr16	+	25000000	30000000	1.356557436567721
FS185_nucl	CD4T	chr16	+	55000000	60000000	1.3527468819706194
FS185_nucl	CD4T	chr16	+	65000000	70000000	1.6071014013270664
FS185_nucl	CD4T	chr16	+	70000000	75000000	1.2012773367358824
FS185_nucl	CD4T	chr16	+	80000000	85000000	1.3832313187474239
FS185_nucl	CD4T	chr16	+	85000000	90000000	2.1243841878834324
FS185_nucl	CD4T	chr16	-	0	5000000	2.3422105580720674
FS185_nucl	CD4T	chr16	-	10000000	15000000	1.3797888071962447
FS185_nucl	CD4T	chr16	-	25000000	30000000	1.40075244929453
FS185_nucl	CD4T	chr16	-	55000000	60000000	1.3359557373543745
FS185_nucl	CD4T	chr16	-	65000000	70000000	1.6056244061641365
FS185_nucl	CD4T	chr16	-	80000000	85000000	1.3235681306599334
FS185_nucl	CD4T	chr16	-	85000000	90000000	1.9934517849824147
FS185_nucl	CD4T	chr17	+	0	5000000	1.8576453660864118
FS185_nucl	CD4T	chr17	+	5000000	10000000	1.8014396857791835
FS185_nucl	CD4T	chr17	+	15000000	20000000	1.365131184411196
FS185_nucl	CD4T	chr17	+	30000000	35000000	1.3136886973503425
FS185_nucl	CD4T	chr17	+	35000000	40000000	1.4537265787937783
FS185_nucl	CD4T	chr17	+	40000000	45000000	1.8195398201154087
FS185_nucl	CD4T	chr17	+	45000000	50000000	1.4575371333908795
FS185_nucl	CD4T	chr17	+	55000000	60000000	1.263198848938763
FS185_nucl	CD4T	chr17	+	60000000	65000000	1.240335521356161
FS185_nucl	CD4T	chr17	+	65000000	70000000	1.2317617735126851
FS185_nucl	CD4T	chr17	+	70000000	75000000	1.3451257727764188
FS185_nucl	CD4T	chr17	+	75000000	80000000	2.100568221651556
FS185_nucl	CD4T	chr17	+	80000000	83257441	2.1515074717729723
FS185_nucl	CD4T	chr17	-	0	5000000	1.7904856137581067
FS185_nucl	CD4T	chr17	-	5000000	10000000	1.7047252597196674
FS185_nucl	CD4T	chr17	-	15000000	20000000	1.4293392339740092
FS185_nucl	CD4T	chr17	-	30000000	35000000	1.2892639890445576
FS185_nucl	CD4T	chr17	-	35000000	40000000	1.4722194109932285
FS185_nucl	CD4T	chr17	-	40000000	45000000	1.7304533659311996
FS185_nucl	CD4T	chr17	-	45000000	50000000	1.5894252281790981
FS185_nucl	CD4T	chr17	-	55000000	60000000	1.265441668478324
FS185_nucl	CD4T	chr17	-	60000000	65000000	1.2139854560552599
FS185_nucl	CD4T	chr17	-	65000000	70000000	1.223514384281753
FS185_nucl	CD4T	chr17	-	70000000	75000000	1.2625829900103749
FS185_nucl	CD4T	chr17	-	75000000	80000000	2.1678311715272414
