Name	Chromosome	Strand	Start	End	Sample_count	EF_mean	EF_median	Sample
REZchr1-10F	chr1	+	200000000	205000000	25	1.6561105699227647	1.6169051689047005	FS185_nucl,FS186_nucl,FS188_nucl,FS189_nucl,FS197_nucl,FS198_nucl,FS199_nucl,FS201_nucl,FS203_nucl,FS300_nucl,FS301_nucl,FS303_nucl,FS305_nucl,FS306_nucl,FS307_nucl,FS309_nucl,FS310_nucl,FS326_nucl,FS327_nucl,FS329_nucl,FS331_nucl,FS333_nucl,FS391_nucl,FS392_nucl,FS393_nucl
REZchr1-11F	chr1	+	225000000	230000000	23	2.083311485917279	2.3207759781939705	FS185_nucl,FS186_nucl,FS188_nucl,FS197_nucl,FS198_nucl,FS201_nucl,FS203_nucl,FS300_nucl,FS301_nucl,FS303_nucl,FS305_nucl,FS306_nucl,FS307_nucl,FS309_nucl,FS310_nucl,FS326_nucl,FS327_nucl,FS329_nucl,FS331_nucl,FS333_nucl,FS391_nucl,FS392_nucl,FS393_nucl
REZchr1-12F	chr1	+	230000000	235000000	22	1.7994814376129171	1.9739560092088952	FS185_nucl,FS189_nucl,FS197_nucl,FS199_nucl,FS201_nucl,FS203_nucl,FS300_nucl,FS301_nucl,FS303_nucl,FS305_nucl,FS306_nucl,FS307_nucl,FS309_nucl,FS310_nucl,FS326_nucl,FS327_nucl,FS329_nucl,FS331_nucl,FS333_nucl,FS391_nucl,FS392_nucl,FS393_nucl
REZchr1-1F	chr1	+	5000000	10000000	22	1.6234123131994502	1.4528387525678936	FS185_nucl,FS186_nucl,FS187_nucl,FS188_nucl,FS189_nucl,FS197_nucl,FS198_nucl,FS199_nucl,FS201_nucl,FS300_nucl,FS301_nucl,FS303_nucl,FS305_nucl,FS306_nucl,FS307_nucl,FS309_nucl,FS310_nucl,FS329_nucl,FS331_nucl,FS333_nucl,FS392_nucl,FS393_nucl
REZchr1-2F	chr1	+	15000000	20000000	22	1.6325178039980246	1.4865698319918126	FS185_nucl,FS186_nucl,FS188_nucl,FS189_nucl,FS197_nucl,FS198_nucl,FS199_nucl,FS201_nucl,FS300_nucl,FS301_nucl,FS303_nucl,FS305_nucl,FS306_nucl,FS307_nucl,FS309_nucl,FS310_nucl,FS327_nucl,FS329_nucl,FS331_nucl,FS333_nucl,FS392_nucl,FS393_nucl
REZchr1-3F	chr1	+	25000000	30000000	26	1.6084660916454636	1.5656130485581197	FS185_nucl,FS186_nucl,FS187_nucl,FS188_nucl,FS189_nucl,FS197_nucl,FS198_nucl,FS199_nucl,FS201_nucl,FS203_nucl,FS300_nucl,FS301_nucl,FS303_nucl,FS305_nucl,FS306_nucl,FS307_nucl,FS309_nucl,FS310_nucl,FS326_nucl,FS327_nucl,FS329_nucl,FS331_nucl,FS333_nucl,FS391_nucl,FS392_nucl,FS393_nucl
REZchr1-4F	chr1	+	30000000	35000000	25	1.7702296342508055	1.6680702748806735	FS185_nucl,FS186_nucl,FS188_nucl,FS189_nucl,FS197_nucl,FS198_nucl,FS199_nucl,FS201_nucl,FS203_nucl,FS300_nucl,FS301_nucl,FS303_nucl,FS305_nucl,FS306_nucl,FS307_nucl,FS309_nucl,FS310_nucl,FS326_nucl,FS327_nucl,FS329_nucl,FS331_nucl,FS333_nucl,FS391_nucl,FS392_nucl,FS393_nucl
REZchr1-5F	chr1	+	35000000	40000000	23	1.5374829274885737	1.495811508326765	FS185_nucl,FS186_nucl,FS188_nucl,FS197_nucl,FS198_nucl,FS199_nucl,FS201_nucl,FS203_nucl,FS300_nucl,FS301_nucl,FS303_nucl,FS305_nucl,FS306_nucl,FS307_nucl,FS309_nucl,FS310_nucl,FS327_nucl,FS329_nucl,FS331_nucl,FS333_nucl,FS391_nucl,FS392_nucl,FS393_nucl
REZchr1-6F	chr1	+	40000000	45000000	25	1.500087698066058	1.4396126455885772	FS185_nucl,FS186_nucl,FS187_nucl,FS188_nucl,FS197_nucl,FS198_nucl,FS199_nucl,FS201_nucl,FS203_nucl,FS300_nucl,FS301_nucl,FS303_nucl,FS305_nucl,FS306_nucl,FS307_nucl,FS309_nucl,FS310_nucl,FS326_nucl,FS327_nucl,FS329_nucl,FS331_nucl,FS333_nucl,FS391_nucl,FS392_nucl,FS393_nucl
REZchr1-7F	chr1	+	50000000	55000000	25	1.482609116341897	1.423818815739973	FS185_nucl,FS186_nucl,FS187_nucl,FS189_nucl,FS197_nucl,FS198_nucl,FS199_nucl,FS201_nucl,FS203_nucl,FS300_nucl,FS301_nucl,FS303_nucl,FS305_nucl,FS306_nucl,FS307_nucl,FS309_nucl,FS310_nucl,FS326_nucl,FS327_nucl,FS329_nucl,FS331_nucl,FS333_nucl,FS391_nucl,FS392_nucl,FS393_nucl
